id,month_key,date,week,top,photo,photo_info,rating,menu,map,coupon,p_coupon,seat,other,total
222,2020-02,2020-02-08,"土",91,21,67,22,43,12,9,0,5,14,284
223,2020-02,2020-02-09,"日",83,26,11,49,43,13,4,0,8,32,269
224,2020-02,2020-02-10,"月",95,25,5,26,25,14,6,0,6,25,227
225,2020-02,2020-02-11,"火",64,33,16,53,37,2,3,0,7,38,253
226,2020-02,2020-02-12,"水",58,8,1,8,16,5,3,0,7,12,118
227,2020-02,2020-02-13,"木",46,20,19,7,25,5,6,0,4,12,144
228,2020-02,2020-02-14,"金",48,13,1,17,20,4,5,0,5,8,121
229,2020-02,2020-02-15,"土",35,11,10,15,15,2,1,0,3,21,113
230,2020-02,2020-02-16,"日",78,20,11,10,31,4,5,0,6,14,179
231,2020-02,2020-02-17,"月",45,9,6,15,30,4,8,0,3,11,131
232,2020-02,2020-02-18,"火",34,5,1,9,12,3,2,0,3,9,78
233,2020-02,2020-02-19,"水",45,7,1,11,11,3,2,0,3,19,102
234,2020-02,2020-02-20,"木",68,10,24,49,23,9,10,0,5,24,222
235,2020-02,2020-02-21,"金",55,21,23,72,23,2,3,0,11,21,231
236,2020-02,2020-02-22,"土",44,15,12,17,25,3,2,0,3,8,129
237,2020-02,2020-02-23,"日",66,39,4,7,31,1,1,0,6,12,167
238,2020-02,2020-02-24,"月",59,5,7,19,27,2,2,0,2,4,127
239,2020-02,2020-02-25,"火",35,5,1,10,10,5,0,0,3,7,76
240,2020-02,2020-02-26,"水",43,26,20,18,22,7,3,0,6,17,162
241,2020-02,2020-02-27,"木",36,2,1,2,7,3,1,0,0,3,55
242,2020-02,2020-02-28,"金",37,6,22,6,8,5,4,0,3,3,94
243,2020-02,2020-02-29,"土",70,11,1,29,25,4,4,0,2,22,168
244,2020-01,2020-01-01,"水",17,0,0,10,0,1,0,0,0,0,28
245,2020-01,2020-01-02,"木",26,0,0,7,7,0,1,0,1,3,45
246,2020-01,2020-01-03,"金",34,14,12,15,10,0,7,0,0,24,116
247,2020-01,2020-01-04,"土",46,5,2,24,10,4,1,0,0,13,105
248,2020-01,2020-01-05,"日",51,13,10,12,9,4,2,0,0,9,110
249,2020-01,2020-01-06,"月",40,16,6,27,4,5,1,0,0,2,101
250,2020-01,2020-01-07,"火",29,9,8,4,14,3,5,0,1,12,85
251,2020-01,2020-01-08,"水",33,16,3,12,9,2,0,0,0,9,84
252,2020-01,2020-01-09,"木",59,28,6,19,16,6,6,0,0,16,156
253,2020-01,2020-01-10,"金",37,40,33,29,25,2,6,0,0,2,174
254,2020-01,2020-01-11,"土",40,5,7,21,14,4,6,0,0,12,109
255,2020-01,2020-01-12,"日",65,6,7,10,36,9,5,0,3,9,150
256,2020-01,2020-01-13,"月",31,22,6,14,20,2,2,0,0,10,107
257,2020-01,2020-01-14,"火",50,29,16,36,19,4,6,0,0,8,168
258,2020-01,2020-01-15,"水",15,8,20,0,5,2,3,0,0,2,55
259,2020-01,2020-01-16,"木",21,25,20,12,12,1,3,0,0,2,96
260,2020-01,2020-01-17,"金",28,37,13,10,10,4,2,0,0,6,110
261,2020-01,2020-01-18,"土",50,22,19,11,36,5,4,0,2,9,158
262,2020-01,2020-01-19,"日",43,5,1,13,25,2,2,0,0,10,101
263,2020-01,2020-01-20,"月",58,19,21,35,18,7,7,0,1,11,177
264,2020-01,2020-01-21,"火",46,6,6,28,25,3,3,0,2,16,135
265,2020-01,2020-01-22,"水",48,6,1,20,21,10,3,0,0,11,120
266,2020-01,2020-01-23,"木",74,44,18,10,31,9,4,0,1,15,206
267,2020-01,2020-01-24,"金",51,7,3,18,20,12,5,0,1,15,132
268,2020-01,2020-01-25,"土",45,16,21,9,16,5,8,0,0,15,135
269,2020-01,2020-01-26,"日",51,9,5,15,8,10,8,0,0,11,117
270,2020-01,2020-01-27,"月",44,2,3,5,7,2,1,0,1,6,71
271,2020-01,2020-01-28,"火",47,5,0,33,12,1,3,0,0,7,108
272,2020-01,2020-01-29,"水",58,40,25,17,19,4,2,0,0,17,182
273,2020-01,2020-01-30,"木",23,5,2,7,3,2,3,0,1,5,51
274,2020-01,2020-01-31,"金",50,19,6,68,27,8,10,0,2,10,200
275,2019-12,2019-12-01,"日",62,21,13,7,18,4,6,0,0,26,157
276,2019-12,2019-12-02,"月",56,10,7,52,13,5,6,0,1,13,163
277,2019-12,2019-12-03,"火",70,21,10,15,18,7,6,0,2,20,169
278,2019-12,2019-12-04,"水",29,0,0,14,11,3,1,0,0,21,79
279,2019-12,2019-12-05,"木",44,22,8,53,28,6,5,0,1,18,185
280,2019-12,2019-12-06,"金",64,27,18,36,41,7,14,0,2,9,218
281,2019-12,2019-12-07,"土",58,25,3,43,22,3,4,0,2,7,167
282,2019-12,2019-12-08,"日",34,9,4,8,18,5,5,0,0,7,90
283,2019-12,2019-12-09,"月",47,21,11,36,6,0,3,0,2,16,142
284,2019-12,2019-12-10,"火",62,7,6,12,33,10,4,0,0,25,159
285,2019-12,2019-12-11,"水",49,16,39,30,20,2,3,0,0,12,171
286,2019-12,2019-12-12,"木",23,7,5,11,8,0,4,0,1,15,74
287,2019-12,2019-12-13,"金",64,12,6,43,21,9,13,0,0,35,203
288,2019-12,2019-12-14,"土",79,25,15,21,25,10,11,0,1,19,206
289,2019-12,2019-12-15,"日",84,8,7,21,18,4,10,0,1,19,172
290,2019-12,2019-12-16,"月",55,16,5,29,41,9,8,0,5,26,194
291,2019-12,2019-12-17,"火",54,25,15,19,21,5,3,0,3,30,175
292,2019-12,2019-12-18,"水",35,1,0,6,7,7,2,0,1,9,68
293,2019-12,2019-12-19,"木",45,9,10,28,22,3,3,0,1,3,124
294,2019-12,2019-12-20,"金",42,11,2,14,17,3,6,0,1,5,101
295,2019-12,2019-12-21,"土",91,27,27,49,29,14,9,0,0,54,300
296,2019-12,2019-12-22,"日",73,53,61,15,31,8,3,0,2,24,270
297,2019-12,2019-12-23,"月",67,20,16,34,8,4,7,0,2,22,180
298,2019-12,2019-12-24,"火",20,8,0,7,7,2,0,0,1,7,52
299,2019-12,2019-12-25,"水",54,21,36,6,17,1,3,0,1,12,151
300,2019-12,2019-12-26,"木",39,3,37,3,15,9,0,0,0,13,119
301,2019-12,2019-12-27,"金",35,0,2,3,8,4,1,0,0,6,59
302,2019-12,2019-12-28,"土",98,7,5,12,17,26,6,0,4,26,201
303,2019-12,2019-12-29,"日",62,6,1,22,11,10,6,0,3,14,135
304,2019-12,2019-12-30,"月",44,4,0,16,11,8,1,0,2,14,100
305,2019-12,2019-12-31,"火",15,5,2,13,3,2,2,0,0,1,43
306,2019-11,2019-11-01,"金",30,1,7,13,4,3,1,0,2,19,80
307,2019-11,2019-11-02,"土",51,41,42,33,23,7,7,0,0,11,215
308,2019-11,2019-11-03,"日",44,10,8,18,15,6,1,0,0,13,115
309,2019-11,2019-11-04,"月",87,1,7,49,17,7,5,0,1,35,209
310,2019-11,2019-11-05,"火",38,19,15,48,9,1,0,0,0,4,134
311,2019-11,2019-11-06,"水",45,8,4,25,10,1,4,0,1,6,104
312,2019-11,2019-11-07,"木",45,18,5,12,10,1,2,0,1,8,102
313,2019-11,2019-11-08,"金",55,3,5,26,17,6,6,0,3,15,136
314,2019-11,2019-11-09,"土",96,16,2,44,21,14,12,0,5,25,235
315,2019-11,2019-11-10,"日",74,17,9,46,32,9,4,0,0,14,205
316,2019-11,2019-11-11,"月",53,10,159,31,16,5,5,0,1,6,286
317,2019-11,2019-11-12,"火",57,3,2,46,16,3,3,0,1,2,133
318,2019-11,2019-11-13,"水",57,20,17,32,10,8,2,0,1,6,153
319,2019-11,2019-11-14,"木",77,23,66,45,43,7,17,0,0,29,307
320,2019-11,2019-11-15,"金",62,4,5,29,23,9,8,0,1,24,165
